file,language,function,signature,ploc_file,lloc_file,cyclomatic,fan_in_user,fan_out_user,fan_out_all,num_callers,num_callees
software_metrics_course/module1_basics/fibonacci_5.py,python,fibonacci,fibonacci(),33,9,1,1,0,0,1,0
software_metrics_course/module1_basics/fibonacci_5.py,python,main,main(),33,9,1,0,1,1,0,1
